capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
16448000000,-23472000000,-8936000000,None,None,-574000000,None,None,None,16196000000,11800000000,11800000000,None,2024-12-31,17749000000,31492000000,None,None,None,None,None,None,None,None,None,-15400000000,None,None,USD
15829000000,-30109000000,-15232000000,None,None,-320000000,None,None,None,17326000000,11336000000,11336000000,None,2023-12-31,21411000000,35609000000,None,None,None,None,None,None,None,None,None,-14939000000,None,None,USD
12000000000,-25000000000,-12100000000,12516000000,None,-930000000,None,None,153000000,16319000000,11000000000,11000000000,None,2022-12-31,35600000000,49600000000,None,None,None,None,None,None,None,None,None,-11300000000,None,None,USD
8100000000,-23100000000,-5900000000,209000000,None,-530000000,None,None,21000000,17925000000,10200000000,10200000000,None,2021-12-31,15700000000,29200000000,None,None,None,None,None,None,None,None,None,-1383000000,None,None,USD
8900000000,-3700000000,-6965000000,-124000000,None,284000000,None,None,296000000,19500000000,9700000000,9700000000,None,2020-12-31,-5600000000,10600000000,None,None,None,None,None,None,None,None,None,-1500000000,None,None,USD
14100000000,-19800000000,-11458000000,-3902000000,None,7000000,None,None,502000000,29200000000,9000000000,9000000000,None,2019-12-31,2800000000,27300000000,None,None,None,None,None,None,None,None,None,-2900000000,None,None,USD
13800000000,-13700000000,-12300000000,4629000000,None,-424000000,None,None,418000000,18030000000,8500000000,8500000000,None,2018-12-31,14860000000,30618000000,None,None,None,None,None,None,None,None,None,-1751000000,None,None,USD
13404000000,-14554000000,-8201000000,-2175000000,65000000,-267000000,None,None,-368000000,19349000000,8132000000,8132000000,None,2017-12-31,9269000000,20338000000,None,None,None,None,None,None,None,None,None,-1151000000,None,None,USD
18109000000,25000000,-16852000000,-4034000000,-53000000,603000000,None,None,-131000000,19457000000,8032000000,8032000000,None,2016-12-31,-431000000,12846000000,None,None,None,None,None,None,None,None,None,9054000000,None,None,USD
29504000000,2815000000,-23808000000,-1763000000,-226000000,85000000,None,None,-59000000,21037000000,7992000000,7992000000,None,2015-12-31,4710000000,19456000000,None,None,None,None,None,None,None,None,None,10756000000,None,None,USD
35407000000,-4999000000,-29893000000,-3460000000,-43000000,-146000000,None,None,-9000000,16793000000,7928000000,7928000000,None,2014-12-31,19310000000,31475000000,None,None,None,None,None,None,None,None,None,-4412000000,None,None,USD
37985000000,-3821000000,-35609000000,-4694000000,-266000000,-237000000,None,None,183000000,14186000000,7474000000,7474000000,None,2013-12-31,21597000000,35002000000,None,None,None,None,None,None,None,None,None,-4494000000,None,None,USD
30938000000,-8980000000,-24796000000,5075000000,39000000,-233000000,None,None,-169000000,13413000000,6844000000,6844000000,None,2012-12-31,26336000000,38812000000,None,None,None,None,None,None,None,None,None,-4142000000,None,None,USD
26500000000,-11772000000,-27489000000,1804000000,-33000000,-404000000,None,None,-150000000,12911000000,6139000000,6139000000,None,2011-12-31,27008000000,41098000000,None,None,None,None,None,None,None,None,None,-3193000000,None,None,USD
19612000000,-5170000000,-20915000000,5344000000,70000000,15000000,None,None,-12000000,13063000000,5674000000,5674000000,None,2010-12-31,19136000000,31359000000,None,None,None,None,None,None,None,None,None,-306000000,None,None,USD
19843000000,-3546000000,-16572000000,-631000000,114000000,1213000000,None,None,-258000000,12110000000,5302000000,5302000000,None,2009-12-31,10563000000,19373000000,None,None,None,None,None,None,None,None,None,168000000,None,None,USD
19666000000,-10400000000,-17081000000,None,None,-1545000000,None,None,None,9528000000,5162000000,5162000000,None,2008-12-31,23931000000,29632000000,None,None,None,None,None,None,None,None,None,-6821000000,None,None,USD
16678000000,-14295000000,-13933000000,None,None,-749000000,None,None,None,8708000000,4791000000,4791000000,None,2007-12-31,18688000000,24977000000,None,None,None,None,None,None,None,None,None,-6389000000,None,None,USD
13813000000,-11848000000,-12219000000,None,None,-536000000,None,None,None,7506000000,4396000000,4396000000,None,2006-12-31,17138000000,24323000000,None,None,None,None,None,None,None,None,None,-4491000000,None,None,USD
8701000000,-7668000000,-11561000000,None,None,None,None,None,None,5913000000,3876000000,3876000000,None,2005-12-31,14099000000,20105000000,None,None,None,None,None,None,None,None,None,-2737000000,None,None,USD
